# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),CP location (cm),CG location (cm),Stability margin calibers (?)
0,0,0,-5.3637,0,0,NaN,220.19,NaN
0.01,0,0,3.4933,0,0,NaN,220.19,NaN
0.02,1.747e-4,0.034942,12.352,0,0,NaN,220.18,NaN
0.03,0.0011418,0.15848,20.53,0,0,NaN,220.17,NaN
0.04,0.0037532,0.3638,22.392,0,0,NaN,220.16,NaN
0.05,0.0085109,0.58776,22.718,0,0,NaN,220.15,NaN
0.06,0.015525,0.81499,23.046,0,0,NaN,220.13,NaN
0.07,0.024827,1.0455,23.374,0,0,NaN,220.11,NaN
0.08,0.036451,1.2793,23.702,0,0,NaN,220.1,NaN
0.09,0.050429,1.5164,24.03,0,0,NaN,220.08,NaN
0.1,0.066794,1.7567,24.358,0,0,NaN,220.06,NaN
0.11,0.08558,2.0003,24.686,0,0,NaN,220.05,NaN
0.12,0.10682,2.2472,25.014,0,0,NaN,220.03,NaN
0.13,0.13054,2.4974,25.182,0,0,NaN,220.02,NaN
0.14,0.15677,2.7493,25.021,0,0,NaN,220,NaN
0.15,0.18552,2.9995,24.85,0,0,NaN,219.98,NaN
0.16,0.21676,3.2481,24.678,0,0,NaN,219.97,NaN
0.17,0.25047,3.4949,24.507,0,0,NaN,219.95,NaN
0.18,0.28665,3.74,24.336,0,0,NaN,219.93,NaN
0.19,0.32526,3.9834,24.164,0,0,NaN,219.92,NaN
0.2,0.36631,4.2251,23.992,0,0,NaN,219.9,NaN
0.21,0.40976,4.4651,23.82,0,0,NaN,219.88,NaN
0.22,0.4556,4.7033,23.648,0,0,NaN,219.87,NaN
0.23,0.50381,4.9399,23.476,0,0,NaN,219.85,NaN
0.24,0.55439,5.1747,23.304,0,0,NaN,219.83,NaN
0.25,0.6073,5.4077,23.132,0,0,NaN,219.82,NaN
0.26,0.66253,5.6391,22.979,0,0,NaN,219.8,NaN
0.27,0.72007,5.8689,22.945,0,0,NaN,219.78,NaN
0.28,0.77991,6.0984,22.93,0,0,NaN,219.77,NaN
0.29,0.84204,6.3278,22.915,0,0,NaN,219.75,NaN
0.3,0.90647,6.557,22.9,0,0,NaN,219.73,NaN
0.31,0.97318,6.786,22.885,0,0,NaN,219.72,NaN
0.32,1.0422,7.0149,22.87,0,0,NaN,219.7,NaN
0.33,1.1135,7.2436,22.854,0,0,NaN,219.69,NaN
0.34,1.1871,7.4722,22.839,0,0,NaN,219.67,NaN
0.35,1.2629,7.7006,22.824,0,0,NaN,219.66,NaN
0.36,1.3411,7.9289,22.809,0,0,NaN,219.64,NaN
0.37,1.4215,8.157,22.793,0,0,NaN,219.62,NaN
0.38,1.5042,8.385,22.778,0,0,NaN,219.61,NaN
0.39,1.5892,8.6128,22.763,0,0,NaN,219.59,NaN
0.4,1.6765,8.8405,22.747,0,0,NaN,219.58,NaN
0.41,1.766,9.068,22.732,0,0,NaN,219.56,NaN
0.42,1.8578,9.2953,22.716,0,0,NaN,219.54,NaN
0.43,1.9519,9.5225,22.7,0,0,NaN,219.53,NaN
0.44,2.0483,9.7496,22.685,0,0,NaN,219.51,NaN
0.45,2.1469,9.9765,22.669,0,0,NaN,219.5,NaN
0.46,2.2478,10.203,22.654,0,0,NaN,219.48,NaN
0.47,2.351,10.43,22.638,0,0,NaN,219.46,NaN
0.48,2.4564,10.656,22.623,0,0,NaN,219.45,NaN
0.49,2.5641,10.882,22.607,0,0,NaN,219.43,NaN
0.5,2.674,11.109,22.591,0,0,NaN,219.42,NaN
0.51,2.7863,11.335,22.575,0,0,NaN,219.4,NaN
0.52,2.9007,11.56,22.559,0,0,NaN,219.38,NaN
0.53,3.0175,11.786,22.543,0,0,NaN,219.37,NaN
0.54,3.1365,12.011,22.527,0,0,NaN,219.35,NaN
0.55,3.2577,12.237,22.511,0,0,NaN,219.33,NaN
0.56,3.3812,12.462,22.495,0,0,NaN,219.32,NaN
0.57,3.5069,12.687,22.478,0,0,NaN,219.3,NaN
0.58,3.6349,12.912,22.462,0,0,NaN,219.29,NaN
0.59,3.7652,13.136,22.445,0,0,NaN,219.27,NaN
0.6,3.8976,13.361,22.429,0,0,NaN,219.25,NaN
0.61,4.0324,13.585,22.412,0,0,NaN,219.24,NaN
0.62,4.1693,13.809,22.396,0,0,NaN,219.22,NaN
0.63,4.3086,14.033,22.38,0,0,NaN,219.21,NaN
0.64,4.45,14.257,22.363,0,0,NaN,219.19,NaN
0.65,4.5937,14.481,22.347,0,0,NaN,219.17,NaN
0.66,4.7396,14.704,22.33,0,0,NaN,219.16,NaN
0.67,4.8878,14.928,22.313,0,0,NaN,219.14,NaN
0.68,5.0382,15.151,22.297,0,0,236.44,219.13,1.0067
0.695,5.2679,15.485,22.265,-2.3506e-5,0,236.68,219.11,1.0217
0.7175,5.622,15.986,22.22,-1.4809e-4,0,237.46,219.08,1.0691
