# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),CP location (cm),CG location (cm),Stability margin calibers (?)
0,0,0,-3.3543,0,0,NaN,220.19,NaN
0.01,0,0,9.5213,0,0,NaN,220.19,NaN
0.02,4.7611e-4,0.095225,19.583,0,0,NaN,220.18,NaN
0.03,0.0024076,0.29108,26.83,0,0,NaN,220.17,NaN
0.04,0.0066602,0.55944,34.887,0,0,NaN,220.15,NaN
0.05,0.013999,0.90839,43.754,0,0,NaN,220.14,NaN
0.06,0.025271,1.3461,53.031,0,0,NaN,220.11,NaN
0.07,0.041384,1.8765,62.718,0,0,NaN,220.08,NaN
0.08,0.063286,2.5039,66.796,0,0,NaN,220.05,NaN
0.09,0.091666,3.1721,65.257,0,0,NaN,220.02,NaN
0.1,0.12665,3.8249,63.716,0,0,NaN,219.99,NaN
0.11,0.16809,4.4623,62.174,0,0,NaN,219.95,NaN
0.12,0.21582,5.0843,60.631,0,0,NaN,219.92,NaN
0.13,0.2697,5.6908,59.086,0,0,NaN,219.88,NaN
0.14,0.32956,6.2819,57.539,0,0,NaN,219.85,NaN
0.15,0.39526,6.8575,56.583,0,0,NaN,219.82,NaN
0.16,0.46666,7.4235,56.216,0,0,NaN,219.78,NaN
0.17,0.54371,7.9858,55.847,0,0,NaN,219.75,NaN
0.18,0.62636,8.5445,55.477,0,0,NaN,219.72,NaN
0.19,0.71458,9.0994,55.107,0,0,NaN,219.69,NaN
0.2,0.80833,9.6506,55.039,0,0,NaN,219.66,NaN
0.21,0.90759,10.201,55.273,0,0,NaN,219.63,NaN
0.22,1.0124,10.754,55.508,0,0,NaN,219.6,NaN
0.23,1.1227,11.309,55.742,0,0,NaN,219.56,NaN
0.24,1.2386,11.867,55.976,0,0,NaN,219.53,NaN
0.25,1.36,12.427,56.211,0,0,NaN,219.5,NaN
0.26,1.4871,12.989,56.445,0,0,NaN,219.47,NaN
0.27,1.6198,13.554,56.679,0,0,NaN,219.44,NaN
0.28,1.7582,14.121,56.912,0,0,NaN,219.41,NaN
0.29,1.9023,14.69,57.146,0,0,NaN,219.37,NaN
0.3,2.052,15.262,57.38,0,0,NaN,219.34,NaN
0.31,2.2075,15.836,57.613,0,0,NaN,219.31,NaN
0.32,2.3687,16.412,57.847,0,0,NaN,219.28,NaN
0.33,2.5357,16.991,58.08,0,0,NaN,219.25,NaN
0.34,2.7086,17.572,58.313,0,0,NaN,219.22,NaN
0.35,2.8872,18.155,58.307,0,0,NaN,219.18,NaN
0.36,3.0717,18.738,58.062,0,0,NaN,219.15,NaN
0.37,3.2619,19.319,57.816,0,0,NaN,219.12,NaN
0.38,3.458,19.897,57.57,0,0,NaN,219.09,NaN
0.39,3.6599,20.473,57.323,0,0,NaN,219.06,NaN
0.4,3.8675,21.046,57.076,0,0,NaN,219.03,NaN
0.41,4.0808,21.617,56.828,0,0,NaN,218.99,NaN
0.42,4.2998,22.186,56.58,0,0,NaN,218.96,NaN
0.43,4.5245,22.752,56.332,0,0,NaN,218.93,NaN
0.44,4.7548,23.315,56.083,0,0,NaN,218.9,NaN
0.45,4.9908,23.876,55.833,0,0,NaN,218.87,NaN
0.46,5.2323,24.435,55.584,0,0,243.45,218.84,1.4312
0.475,5.6051,25.268,55.138,-3.2455e-5,0,243.93,218.8,1.461
0.4975,6.1876,26.507,54.467,-2.046e-4,0,244.6,218.74,1.5033
0.53125,7.1132,28.342,53.516,-7.4406e-4,0,245.85,218.65,1.5815
0.58125,8.5971,31.016,52.943,-0.0021498,-6.4097e-9,246.9,218.52,1.6501
0.63125,10.214,33.666,52.539,-0.0042774,-1.9888e-8,247.37,218.36,1.6861
0.68125,11.963,36.296,52.193,-0.007132,-4.7847e-8,248.26,218.21,1.7469
0.73125,13.843,38.908,52.078,-0.010637,-9.6473e-8,249.37,218.06,1.8202
0.78125,15.854,41.514,51.978,-0.014633,-1.7233e-7,250.33,217.91,1.8848
0.83125,17.995,44.115,51.871,-0.018918,-2.7875e-7,251.04,217.76,1.9346
0.88125,20.265,46.71,51.757,-0.023267,-4.1901e-7,251.84,217.61,1.9898
0.93125,22.665,49.3,51.635,-0.027388,-5.9405e-7,252.54,217.46,2.0396
0.98125,25.195,51.883,51.507,-0.030942,-7.9462e-7,253.28,217.31,2.091
1.0313,27.854,54.46,51.372,-0.033526,-1.0161e-6,254.24,217.16,2.156
1.0813,30.641,57.029,51.229,-0.034644,-1.2471e-6,255.09,217.01,2.2142
1.1313,33.556,59.592,51.078,-0.033757,-1.465e-6,255.72,216.86,2.2593
1.1813,36.6,62.146,50.92,-0.030314,-1.6464e-6,256.63,216.7,2.3215
1.2313,39.771,64.693,50.753,-0.023671,-1.7667e-6,257.45,216.55,2.3782
1.2813,43.069,67.231,50.578,-0.013146,-1.777e-6,258.32,216.4,2.4373
1.3313,46.494,69.76,50.395,0.0019742,-1.5967e-6,258.85,216.24,2.4776
1.3813,50.045,72.28,50.203,0.022426,-1.1259e-6,258.29,216.09,2.454
1.4313,53.721,74.79,50.003,0.048908,-2.5445e-7,257.71,215.93,2.4289
1.4813,57.523,77.289,49.795,0.082129,1.091e-6,257.1,215.77,2.4026
1.5313,61.45,79.778,49.578,0.12282,2.9811e-6,256.42,215.62,2.372
1.5813,65.501,82.256,49.356,0.17171,5.4755e-6,255.96,215.46,2.3548
1.6313,69.676,84.723,49.126,0.22947,8.615e-6,255.48,215.3,2.3357
1.6813,73.973,87.178,48.867,0.2967,1.2477e-5,254.95,215.14,2.3146
1.7313,78.393,89.62,48.521,0.37399,1.7116e-5,254.65,214.99,2.3061
1.7813,82.935,92.045,48.165,0.46176,2.2523e-5,254.63,214.83,2.3137
1.8313,87.597,94.452,47.815,0.56017,2.8676e-5,255.05,214.68,2.3471
1.8813,92.38,96.841,47.465,0.66904,3.5486e-5,255.59,214.53,2.3875
1.9313,97.281,99.213,47.115,0.78799,4.2792e-5,256.32,214.37,2.4387
1.9813,102.3,101.57,46.759,0.91643,5.0355e-5,256.91,214.22,2.4817
2.0313,107.44,103.9,46.4,1.0537,5.7969e-5,257.62,214.07,2.5321
2.0813,112.69,106.22,46.036,1.1991,6.5485e-5,258.42,213.91,2.588
2.1313,118.06,108.52,45.664,1.3517,7.2683e-5,259.17,213.76,2.6405
2.1813,123.54,110.8,45.284,1.5105,7.9406e-5,258.51,213.6,2.6112
2.2313,129.14,113.07,44.895,1.6747,8.5649e-5,258.04,213.44,2.5926
2.2813,134.85,115.31,44.499,1.8434,9.1463e-5,257.59,213.29,2.576
2.3313,140.67,117.53,44.096,2.016,9.6883e-5,257.2,213.13,2.5624
2.3812,146.6,119.73,43.686,2.1917,1.0191e-4,256.95,212.97,2.557
2.4312,152.64,121.91,43.269,2.3699,1.0656e-4,256.79,212.81,2.5567
2.4812,158.79,124.08,42.828,2.5505,1.1071e-4,256.8,212.65,2.5668
2.5312,165.05,126.21,42.308,2.7331,1.1427e-4,256.91,212.5,2.5822
2.5812,171.41,128.33,41.771,2.918,1.1727e-4,257.18,212.35,2.6064
2.6312,177.88,130.41,41.228,3.1053,1.1977e-4,257.62,212.2,2.6407
2.6812,184.45,132.47,40.677,3.2959,1.2203e-4,258.17,212.05,2.6814
2.7312,191.13,134.5,40.115,3.4903,1.2422e-4,259.07,211.9,2.7423
2.7812,197.9,136.5,39.543,3.6899,1.2643e-4,258.7,211.75,2.7298
2.8312,204.78,138.47,38.968,3.8959,1.2876e-4,258.08,211.6,2.702
2.8812,211.75,140.42,38.392,4.1093,1.314e-4,257.65,211.45,2.6857
2.9312,218.82,142.33,37.822,4.331,1.3471e-4,257.45,211.3,2.6832
2.9812,225.98,144.22,37.259,4.5613,1.3905e-4,257.45,211.15,2.6917
3.0312,233.24,146.08,36.705,4.8004,1.4475e-4,257.64,211,2.7116
3.0812,240.59,147.91,36.154,5.0482,1.5197e-4,257.87,210.84,2.7339
3.1312,248.03,149.71,35.606,5.3041,1.613e-4,258.13,210.69,2.7582
3.1812,255.56,151.49,35.067,5.5677,1.7359e-4,258.72,210.54,2.8012
3.2312,263.18,153.24,34.526,5.838,1.8997e-4,259.37,210.38,2.848
3.2812,270.88,154.96,33.98,6.1138,2.1116e-4,258.99,210.23,2.8349
3.3312,278.67,156.66,33.427,6.394,2.3763e-4,258.44,210.07,2.8118
3.3812,286.55,158.32,31.222,6.6776,2.6935e-4,258.22,209.92,2.8084
3.4312,294.5,159.88,27.519,6.9636,3.0569e-4,258.16,209.79,2.8122
3.4812,302.53,161.25,23.824,7.2518,3.4593e-4,258.28,209.68,2.8256
3.5312,310.62,162.44,20.15,7.5417,3.8904e-4,258.61,209.58,2.8507
3.5812,318.77,163.44,16.5,7.8334,4.3399e-4,258.8,209.47,2.8683
3.6312,326.96,164.27,12.873,8.127,4.7974e-4,259.05,209.36,2.8887
3.6812,335.19,164.91,9.2678,8.4224,5.2551e-4,259.45,209.25,2.9183
3.7312,343.45,165.37,5.6881,8.72,5.7105e-4,259.41,209.15,2.9222
3.7812,351.72,165.65,2.1356,9.0199,6.1645e-4,259.12,209.04,2.9116
3.8312,360.01,165.76,-0.38649,9.3222,6.6179e-4,258.86,208.93,2.9031
3.8812,368.3,165.74,-1.9813,9.627,7.0752e-4,258.61,208.85,2.8929
3.9312,376.58,165.64,-3.5575,9.9343,7.5417e-4,258.54,208.79,2.8927
3.9812,384.86,165.47,-5.1798,10.244,8.0242e-4,258.55,208.73,2.8968
4.0312,393.13,165.21,-7.0204,10.556,8.5271e-4,258.73,208.68,2.9096
4.0812,401.38,164.86,-8.863,10.87,9.0552e-4,259.08,208.65,2.9321
4.1312,409.61,164.42,-10.689,11.185,9.6127e-4,259.52,208.62,2.9591
4.1812,417.82,163.89,-12.501,11.499,0.0010202,259.17,208.6,2.9405
4.2312,426,163.27,-14.302,11.813,0.0010822,258.73,208.57,2.9165
4.2812,434.14,162.56,-16.09,12.125,0.0011469,258.35,208.54,2.8956
4.3312,442.25,161.75,-17.867,12.435,0.0012134,258.13,208.52,2.8847
4.3812,450.32,160.87,-19.634,12.742,0.0012812,258.22,208.49,2.8913
4.4312,458.33,159.89,-21.393,13.046,0.0013492,258.7,208.47,2.9206
4.4812,466.3,158.82,-22.764,13.348,0.0014168,259.3,208.44,2.9571
4.5312,474.21,157.69,-22.703,13.647,0.0014837,259.18,208.42,2.9512
4.5812,482.07,156.56,-22.504,13.946,0.0015498,258.75,208.42,2.9265
4.6312,489.87,155.44,-22.302,14.243,0.001615,258.62,208.42,2.9185
4.6812,497.62,154.33,-22.102,14.54,0.0016798,258.48,208.42,2.9108
4.7312,505.3,153.23,-21.905,14.837,0.0017444,258.4,208.42,2.9061
4.7812,512.94,152.14,-21.709,15.133,0.0018094,258.41,208.42,2.9067
4.8312,520.52,151.06,-21.511,15.428,0.0018757,258.58,208.42,2.9164
4.8812,528.04,149.99,-21.315,15.724,0.001944,258.88,208.42,2.9336
4.9312,535.52,148.93,-21.119,16.018,0.0020145,259.35,208.42,2.961
4.9812,542.94,147.88,-20.931,16.311,0.0020876,259.19,208.42,2.9518
5.0312,550.3,146.83,-20.746,16.602,0.0021629,258.71,208.42,2.924
5.0812,557.62,145.8,-20.569,16.89,0.0022401,258.48,208.42,2.9106
5.1312,564.89,144.78,-20.398,17.177,0.0023187,258.44,208.42,2.9083
5.1812,572.1,143.76,-20.23,17.461,0.002398,258.42,208.42,2.9071
5.2312,579.26,142.75,-20.068,17.742,0.0024775,258.55,208.42,2.9147
5.2812,586.37,141.75,-19.908,18.021,0.0025569,258.7,208.42,2.9237
5.3312,593.44,140.76,-19.753,18.299,0.0026359,258.93,208.42,2.9368
5.3812,600.45,139.78,-19.604,18.574,0.0027146,259.32,208.42,2.9596
5.4312,607.42,138.8,-19.455,18.848,0.0027932,259.21,208.42,2.953
5.4812,614.33,137.83,-19.307,19.121,0.0028719,259.09,208.42,2.9463
5.5312,621.2,136.87,-19.161,19.393,0.0029509,258.98,208.42,2.9399
5.5812,628.02,135.92,-19.018,19.664,0.0030305,258.86,208.42,2.9326
5.6312,634.79,134.97,-18.877,19.934,0.003111,258.74,208.42,2.926
5.6812,641.52,134.03,-18.736,20.204,0.0031925,258.76,208.42,2.9267
5.7312,648.19,133.1,-18.596,20.472,0.0032751,258.85,208.42,2.9319
5.7812,654.83,132.17,-18.459,20.74,0.0033589,258.9,208.42,2.9348
5.8312,661.41,131.25,-18.325,21.007,0.0034438,258.91,208.42,2.9354
5.8812,667.95,130.34,-18.191,21.273,0.0035299,259.04,208.42,2.943
5.9312,674.44,129.43,-18.06,21.538,0.0036174,259.14,208.42,2.9487
5.9812,680.89,128.53,-17.929,21.802,0.0037062,259.3,208.42,2.9585
6.0312,687.3,127.64,-17.802,22.065,0.0037965,259.17,208.42,2.951
6.0812,693.66,126.75,-17.68,22.326,0.0038883,259.21,208.42,2.953
6.1312,699.97,125.87,-17.561,22.587,0.0039815,259.22,208.42,2.9534
6.1812,706.24,125,-17.44,22.846,0.0040762,259.25,208.42,2.9555
6.2312,712.47,124.13,-17.32,23.104,0.0041723,259.02,208.42,2.9419
6.2812,718.66,123.26,-17.202,23.361,0.0042696,258.76,208.42,2.9271
6.3312,724.8,122.41,-17.086,23.617,0.0043681,258.52,208.42,2.9132
6.3812,730.9,121.55,-16.973,23.871,0.0044674,258.41,208.42,2.9063
6.4312,736.95,120.71,-16.864,24.123,0.0045673,258.43,208.42,2.9077
6.4812,742.97,119.87,-16.756,24.374,0.0046675,258.48,208.42,2.9106
6.5312,748.94,119.03,-16.65,24.623,0.0047681,258.46,208.42,2.9094
6.5812,754.87,118.2,-16.544,24.87,0.0048688,258.35,208.42,2.903
6.6312,760.76,117.38,-16.445,25.116,0.0049698,258.64,208.42,2.9197
6.6812,766.61,116.56,-16.349,25.361,0.0050711,259.11,208.42,2.947
6.7312,772.42,115.74,-16.256,25.604,0.0051727,258.9,208.42,2.9351
6.7812,778.18,114.93,-16.163,25.847,0.0052748,258.58,208.42,2.9164
6.8312,783.91,114.13,-16.071,26.089,0.0053772,258.3,208.42,2.9004
6.8812,789.6,113.33,-15.979,26.33,0.0054802,258.07,208.42,2.8867
6.9312,795.24,112.53,-15.889,26.571,0.0055837,257.84,208.42,2.8733
6.9812,800.85,111.74,-15.798,26.813,0.0056879,257.75,208.42,2.8682
7.0312,806.42,110.95,-15.705,27.054,0.0057928,257.79,208.42,2.8707
7.0812,811.95,110.17,-15.61,27.295,0.0058983,258.01,208.42,2.8833
7.1312,817.43,109.39,-15.515,27.535,0.0060044,258.35,208.42,2.9029
7.1812,822.88,108.62,-15.422,27.776,0.006111,258.71,208.42,2.9239
7.2312,828.3,107.85,-15.331,28.015,0.0062181,259.04,208.42,2.943
7.2812,833.67,107.08,-15.24,28.254,0.0063257,258.86,208.42,2.9325
7.3312,839,106.32,-15.152,28.492,0.0064339,258.44,208.42,2.9082
7.3812,844.3,105.57,-15.067,28.728,0.0065425,258.08,208.42,2.8874
7.4312,849.56,104.82,-14.984,28.963,0.0066516,257.83,208.42,2.873
7.4812,854.78,104.07,-14.903,29.197,0.0067612,257.65,208.42,2.8626
7.5312,859.97,103.33,-14.825,29.428,0.0068714,257.77,208.42,2.8692
7.5812,865.12,102.59,-14.748,29.659,0.0069821,257.93,208.42,2.8785
7.6312,870.23,101.85,-14.673,29.888,0.0070934,258.12,208.42,2.8899
7.6812,875.3,101.12,-14.601,30.115,0.0072053,258.48,208.42,2.9106
7.7312,880.34,100.39,-14.53,30.341,0.0073178,258.86,208.42,2.9327
7.7812,885.34,99.666,-14.458,30.567,0.007431,258.96,208.42,2.9386
7.8312,890.31,98.944,-14.387,30.791,0.007545,259.08,208.42,2.9454
7.8812,895.23,98.227,-14.318,31.015,0.0076597,258.99,208.42,2.94
7.9312,900.13,97.513,-14.25,31.238,0.0077752,258.85,208.42,2.932
7.9812,904.99,96.802,-14.183,31.461,0.0078914,258.64,208.42,2.9198
8.0312,909.81,96.094,-14.115,31.683,0.0080083,258.6,208.42,2.9173
8.0812,914.6,95.39,-14.047,31.904,0.0081258,258.62,208.42,2.9187
8.1312,919.35,94.69,-13.984,32.125,0.0082437,258.32,208.42,2.9014
8.1812,924.06,93.992,-13.922,32.345,0.0083621,258.07,208.42,2.8868
8.2312,928.75,93.297,-13.856,32.565,0.0084808,258.14,208.42,2.8907
8.2812,933.39,92.606,-13.789,32.785,0.0085999,258.41,208.42,2.9066
8.3312,938.01,91.918,-13.726,33.004,0.0087193,258.41,208.42,2.9064
8.3812,942.59,91.234,-13.663,33.223,0.008839,258.42,208.42,2.9074
8.4312,947.13,90.552,-13.601,33.442,0.0089592,258.47,208.42,2.9101
8.4812,951.64,89.874,-13.539,33.66,0.0090797,258.63,208.42,2.9193
8.5312,956.12,89.198,-13.478,33.877,0.0092008,258.64,208.42,2.9201
8.5812,960.56,88.526,-13.418,34.094,0.0093223,258.79,208.42,2.9285
8.6312,964.97,87.856,-13.356,34.31,0.0094443,258.99,208.42,2.94
8.6812,969.35,87.19,-13.296,34.526,0.0095668,258.61,208.42,2.9181
8.7312,973.69,86.527,-13.238,34.741,0.0096898,258.4,208.42,2.9059
8.7812,978,85.866,-13.18,34.955,0.0098133,258.11,208.42,2.8889
8.8312,982.28,85.209,-13.124,35.168,0.0099373,257.89,208.42,2.8765
8.8812,986.52,84.554,-13.072,35.379,0.010062,258.31,208.42,2.9005
8.9312,990.73,83.902,-13.02,35.59,0.010187,258.47,208.42,2.9098
8.9812,994.91,83.252,-12.969,35.801,0.010313,258.69,208.42,2.923
9.0312,999.06,82.605,-12.918,36.01,0.010439,258.93,208.42,2.9365
9.0812,1003.2,81.96,-12.868,36.219,0.010566,259.04,208.42,2.9434
9.1312,1007.3,81.318,-12.816,36.427,0.010694,258.88,208.42,2.934
9.1812,1011.3,80.678,-12.764,36.635,0.010822,258.56,208.42,2.9152
9.2312,1015.3,80.041,-12.714,36.842,0.010952,258.36,208.42,2.9038
9.2812,1019.3,79.407,-12.666,37.048,0.011082,258.54,208.42,2.9141
9.3312,1023.3,78.775,-12.62,37.253,0.011214,258.75,208.42,2.9262
9.3812,1027.2,78.145,-12.573,37.458,0.011346,258.74,208.42,2.9258
9.4312,1031.1,77.518,-12.524,37.662,0.011479,258.51,208.42,2.9126
9.4813,1034.9,76.893,-12.479,37.866,0.011613,258.61,208.42,2.9181
9.5313,1038.8,76.27,-12.435,38.069,0.011747,258.78,208.42,2.9278
9.5813,1042.6,75.649,-12.389,38.271,0.011882,258.71,208.42,2.9242
9.6313,1046.3,75.031,-12.345,38.472,0.012018,258.65,208.42,2.9206
9.6813,1050.1,74.415,-12.301,38.673,0.012154,258.64,208.42,2.9197
9.7313,1053.8,73.801,-12.258,38.874,0.012291,258.58,208.42,2.9166
9.7813,1057.4,73.189,-12.217,39.073,0.012428,258.89,208.42,2.9346
9.8313,1061.1,72.579,-12.178,39.272,0.012565,258.73,208.42,2.9254
9.8813,1064.7,71.971,-12.137,39.471,0.012703,258.65,208.42,2.9204
9.9313,1068.3,71.365,-12.095,39.669,0.012841,258.8,208.42,2.9291
9.9813,1071.8,70.761,-12.055,39.867,0.012979,258.72,208.42,2.9245
10.031,1075.4,70.16,-12.017,40.064,0.013117,258.56,208.42,2.9155
10.081,1078.9,69.56,-11.977,40.261,0.013255,258.6,208.42,2.9176
10.131,1082.3,68.962,-11.94,40.458,0.013393,258.36,208.42,2.9038
10.181,1085.8,68.366,-11.903,40.654,0.013532,258.18,208.42,2.8933
10.231,1089.2,67.772,-11.866,40.85,0.013671,258.1,208.42,2.8887
10.281,1092.5,67.179,-11.828,41.045,0.01381,258.06,208.42,2.8862
10.331,1095.9,66.589,-11.792,41.241,0.013949,258.03,208.42,2.8847
10.381,1099.2,66,-11.755,41.436,0.014088,258.04,208.42,2.8853
10.431,1102.5,65.413,-11.719,41.63,0.014228,258.05,208.42,2.8855
10.481,1105.7,64.828,-11.682,41.825,0.014368,258.24,208.42,2.8968
10.531,1109,64.245,-11.645,42.019,0.014508,258.44,208.42,2.9084
10.581,1112.2,63.664,-11.612,42.213,0.014648,258.19,208.42,2.8939
10.631,1115.3,63.084,-11.577,42.406,0.014789,258.31,208.42,2.9005
10.681,1118.5,62.506,-11.541,42.6,0.014931,258.64,208.42,2.92
10.731,1121.6,61.93,-11.506,42.793,0.015072,258.97,208.42,2.9391
10.781,1124.7,61.355,-11.473,42.985,0.015215,258.86,208.42,2.9325
10.831,1127.7,60.782,-11.438,43.177,0.015357,258.4,208.42,2.9063
10.881,1130.7,60.211,-11.404,43.369,0.015501,257.94,208.42,2.879
10.931,1133.7,59.642,-11.372,43.56,0.015645,257.86,208.42,2.8748
10.981,1136.7,59.074,-11.339,43.75,0.015789,257.53,208.42,2.8557
11.031,1139.6,58.508,-11.307,43.94,0.015934,257.16,208.42,2.8338
11.081,1142.6,57.944,-11.277,44.129,0.01608,257.02,208.42,2.8259
11.131,1145.4,57.38,-11.247,44.317,0.016226,256.99,208.42,2.8239
11.181,1148.3,56.819,-11.219,44.504,0.016373,257.27,208.42,2.8401
11.231,1151.1,56.259,-11.19,44.691,0.016521,257.38,208.42,2.8469
11.281,1153.9,55.7,-11.162,44.878,0.01667,257.39,208.42,2.8472
11.331,1156.7,55.142,-11.134,45.063,0.016819,257.49,208.42,2.853
