# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7076,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.02362,1926311,163.58,0.0011716,0.54322,0.0014717,0.38093,0.042213,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0013858
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.023463,1913492,2907.7,0.001157,0.54369,0.001473,0.38141,0.042213,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0017052
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,79.596,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.023565,1921856,4084.9,0.0057881,0.54338,0.0073047,0.3811,0.042213,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0019663
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,73.288,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.024037,1960312,4026.2,0.023092,0.54198,0.02801,0.37969,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0022215
0.04,0.033426,2.4119,88.815,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,67.378,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.024771,2020183,4013.8,0.056144,0.53987,0.064125,0.37758,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0024981
0.05,0.061988,3.3005,89.02,3.3187,89.511,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,61.878,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.025749,2099907,4019.9,0.10742,0.53718,0.11356,0.37488,0.042215,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0027223
0.06,0.099446,4.1912,89.947,4.2143,90.442,0.010452,0,0.010452,0,0.44051,9.4538,28.61,-80.6,9.7922,57.117,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.027231,2220788,4055.4,0.17759,0.53334,0.16785,0.37103,0.042217,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0029898
0.07,0.14586,5.0912,91.049,5.1192,91.551,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,52.83,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.028898,2356719,4098,0.26762,0.52933,0.2246,0.36701,0.042219,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0032401
0.08,0.20132,6.0021,92.153,6.0352,92.66,0.02116,0,0.02116,0,0.63085,9.6856,28.61,-80.6,9.7922,48.983,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.03073,2506110,4140.5,0.37771,0.52526,0.28032,0.36291,0.042221,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0034209
0.09,0.26595,6.9241,93.09,6.9623,93.602,0.027953,0,0.027953,0,0.72775,9.7841,28.61,-80.6,9.7922,45.542,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.032707,2667362,4176.3,0.50761,0.52119,0.33256,0.35883,0.042224,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0035911
0.1,0.33985,7.8555,93.04,7.8988,93.552,0.03572,0,0.03572,0,0.82565,9.7789,28.61,-80.6,9.7922,42.472,0,0,0,40385,12149,60.799,0.31173,NaN,94.579,NaN,0.034809,2838786,4172,0.65663,0.5172,0.3798,0.35482,0.042226,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001013,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0037528
0.11,0.42306,8.7864,93.327,8.8348,93.841,0.044465,0,0.044465,0,0.92349,9.809,28.61,-80.6,9.7922,39.418,0,0,0,40361,12125,60.778,0.31148,NaN,94.557,NaN,0.036774,2998982,4181.4,0.82367,0.51374,0.42688,0.35134,0.042229,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001133,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0044239
0.12,0.51559,9.7201,93.859,9.7737,94.376,0.054191,0,0.054191,0,1.0216,9.8649,28.61,-80.6,9.7922,36.673,0,0,0,40337,12101,60.757,0.31124,NaN,94.535,NaN,0.038839,3167375,4200.7,1.0134,0.51374,0.47085,0.35132,0.042232,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012534,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0046626
0.13,0.61749,10.659,94.391,10.718,94.911,0.064901,0,0.064901,0,1.1203,9.9209,28.61,-80.6,9.7922,34.197,0,0,0,40313,12077,60.735,0.31099,NaN,94.514,NaN,0.040998,3343353,4220,1.2211,0.51376,0.50918,0.35131,0.042236,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013745,6.2992,201.06,84,0,NaN,14.996,1013.2,340.39,0.01,0.0049641
0.14,0.7288,11.604,94.923,11.668,95.446,0.0766,0,0.0766,0,1.2196,9.9768,28.61,-80.6,9.7922,31.962,0,0,0,40289,12054,60.714,0.31075,NaN,94.492,NaN,0.043238,3526024,4239.3,1.4458,0.51378,0.54204,0.3513,0.042239,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014963,6.2992,201.06,84,0,NaN,14.995,1013.2,340.39,0.01,0.0052743
0.15,0.84959,12.553,95.455,12.622,95.981,0.089295,0,0.089295,0,1.3194,10.033,28.61,-80.6,9.7922,29.94,0,0,0,40265,12030,60.693,0.3105,NaN,94.47,NaN,0.045551,3714634,4258.5,1.6868,0.51381,0.56981,0.3513,0.042243,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016187,6.2992,201.06,84,0,NaN,14.994,1013.2,340.39,0.01,0.0055834
0.16,0.9799,13.508,95.988,13.583,96.517,0.10299,0,0.10299,0,1.4198,10.089,28.61,-80.6,9.7922,28.792,0,0,0,40241,12006,60.672,0.31025,NaN,94.448,NaN,0.048324,3940745,4277.8,1.9476,0.51384,0.58457,0.35129,0.042248,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017419,6.2992,201.06,84,0,NaN,14.994,1013.1,340.39,0.01,0.0059317
0.17,1.1198,14.469,96.521,14.548,97.053,0.11769,0,0.11769,0,1.5207,10.145,28.61,-80.6,9.7922,27.76,0,0,0,40218,11982,60.65,0.31001,NaN,94.426,NaN,0.051129,4169395,4297.1,2.227,0.51387,0.59711,0.35128,0.042255,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018657,6.2992,201.06,84,0,NaN,14.993,1013.1,340.38,0.01,0.0061033
0.18,1.2693,15.434,96.9,15.519,97.434,0.13341,0,0.13341,0,1.6222,10.185,28.61,-80.6,9.7922,26.829,0,0,0,40194,11958,60.629,0.30976,NaN,94.405,NaN,0.053962,4400393,4310.2,2.525,0.51391,0.6078,0.35127,0.042263,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019903,6.2992,201.06,84,0,NaN,14.992,1013.1,340.38,0.01,0.006289
0.19,1.4285,16.404,96.661,16.494,97.193,0.15014,0,0.15014,0,1.7241,10.159,28.61,-80.6,9.7922,25.986,0,0,0,40170,11934,60.607,0.30952,NaN,94.383,NaN,0.056819,4633250,4298.3,2.8413,0.51395,0.6169,0.35125,0.042272,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021153,6.2992,201.06,84,0,NaN,14.991,1013.1,340.38,0.01,0.0066049
0.2,1.5974,17.371,96.799,17.467,97.332,0.16789,0,0.16789,0,1.8258,10.174,28.61,-80.6,9.7922,25.226,0,0,0,40146,11910,60.586,0.30927,NaN,94.361,NaN,0.05968,4866484,4301.6,3.1737,0.51399,0.6246,0.35124,0.042281,0.12046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00224,6.2992,201.06,84,0,NaN,14.99,1013.1,340.38,0.01,0.0068894
0.21,1.7759,18.339,97.153,18.441,97.688,0.18666,0,0.18666,0,1.9276,10.211,28.61,-80.6,9.7922,24.291,0,0,0,40122,11886,60.565,0.30902,NaN,94.339,NaN,0.062398,5088051,4313.7,3.518,0.51403,0.63337,0.35123,0.04229,0.12051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023649,6.2992,201.06,84,0,NaN,14.988,1013,340.38,0.01,0.0071734
0.22,1.9642,19.312,97.508,19.418,98.045,0.20644,0,0.20644,0,2.0297,10.248,28.61,-80.6,9.7922,23.43,0,0,0,40098,11862,60.543,0.30878,NaN,94.316,NaN,0.065141,5311634,4325.8,3.8785,0.51407,0.64071,0.35122,0.042299,0.12055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024902,6.2992,201.06,84,0,NaN,14.987,1013,340.38,0.01,0.0074513
0.23,2.1622,20.287,97.862,20.399,98.401,0.22725,0,0.22725,0,2.1323,10.286,28.61,-80.6,9.7922,22.635,0,0,0,40074,11838,60.522,0.30853,NaN,94.294,NaN,0.067907,5537096,4337.9,4.255,0.51411,0.64684,0.35121,0.042309,0.1206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002616,6.2992,201.06,84,0,NaN,14.986,1013,340.38,0.01,0.0077147
0.24,2.3699,21.266,98.216,21.383,98.757,0.24909,0,0.24909,0,2.2352,10.323,28.61,-80.6,9.7922,21.9,0,0,0,40050,11814,60.5,0.30828,NaN,94.272,NaN,0.070695,5764320,4349.9,4.6477,0.51416,0.65192,0.35119,0.042319,0.12065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027423,6.2992,201.06,84,0,NaN,14.985,1013,340.38,0.01,0.0078714
0.25,2.5875,22.249,98.571,22.371,99.114,0.27196,0,0.27196,0,2.3384,10.36,28.61,-80.6,9.7922,21.218,0,0,0,40026,11791,60.478,0.30804,NaN,94.25,NaN,0.073504,5993206,4362,5.0564,0.51421,0.65609,0.35118,0.042329,0.1207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002869,6.2992,201.06,84,0,NaN,14.983,1012.9,340.38,0.01,0.0080418
0.26,2.8149,23.235,98.926,23.363,99.471,0.29586,0,0.29586,0,2.4421,10.398,28.61,-80.6,9.7922,20.282,0,0,0,40002,11767,60.457,0.30779,NaN,94.228,NaN,0.076133,6207443,4374.1,5.4642,0.51426,0.6609,0.35116,0.042339,0.12075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029961,6.2992,201.06,84,0,NaN,14.982,1012.9,340.38,0.01,0.0082168
0.27,3.0522,24.225,99.281,24.358,99.827,0.3208,0,0.3208,0,2.5461,10.435,28.61,-80.6,9.7922,19.406,0,0,0,39978,11743,60.435,0.30754,NaN,94.206,NaN,0.078791,6424019,4386.2,5.8834,0.51431,0.66443,0.35115,0.042349,0.12081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031238,6.2992,201.06,84,0,NaN,14.98,1012.9,340.38,0.01,0.008463
0.28,3.2994,25.218,99.636,25.357,100.18,0.34678,0,0.34678,0,2.6505,10.472,28.61,-80.6,9.7922,18.586,0,0,0,39954,11719,60.414,0.3073,NaN,94.184,NaN,0.081476,6642795,4398.3,6.3137,0.51436,0.66683,0.35113,0.04236,0.12086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032519,6.2992,201.06,84,0,NaN,14.979,1012.9,340.38,0.01,0.0086171
0.29,3.5566,26.215,99.991,26.359,100.54,0.37381,0,0.37381,0,2.7553,10.509,28.61,-80.6,9.7922,17.816,0,0,0,39930,11695,60.392,0.30705,NaN,94.161,NaN,0.084186,6863647,4410.3,6.755,0.51441,0.66824,0.35112,0.042371,0.12092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033804,6.2992,201.06,84,0,NaN,14.977,1012.8,340.37,0.01,0.0089446
