# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7076,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.025375,2069445,163.58,0.0013397,0.53819,0.0014581,0.37589,0.042215,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0020194
0.01,0,0,61.573,0,61.912,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.025722,2097724,2907.7,0.0013741,0.53725,0.0014556,0.37495,0.042215,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0025633
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,80.058,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.026321,2146591,4084.9,0.0062449,0.53567,0.0063174,0.37336,0.042216,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0029768
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,74.564,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.027254,2222650,4026.2,0.023378,0.53329,0.022058,0.37097,0.042217,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0032733
0.04,0.033426,2.4119,88.815,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,69.555,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.028405,2316531,4013.8,0.055114,0.53049,0.047874,0.36816,0.042218,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0036015
0.05,0.061988,3.3005,89.021,3.3187,89.511,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,64.98,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.029752,2426423,4019.9,0.10362,0.52739,0.082036,0.36506,0.04222,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0041099
0.06,0.099446,4.1912,89.947,4.2143,90.442,0.010452,0,0.010452,0,0.44052,9.4538,28.61,-80.6,9.7922,60.269,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.030596,2495236,4055.4,0.17127,0.52554,0.12822,0.3632,0.042221,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0044929
0.07,0.14586,5.0912,91.049,5.1192,91.551,0.01533,0,0.01533,0,0.5351,9.5697,28.61,-80.6,9.7922,55.799,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.03165,2581201,4098,0.25945,0.52332,0.18151,0.36097,0.042222,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0047632
0.08,0.20132,6.0021,92.153,6.0352,92.66,0.02116,0,0.02116,0,0.63085,9.6856,28.61,-80.6,9.7922,51.596,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.032905,2683467,4140.5,0.36881,0.5208,0.23873,0.35844,0.042224,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0051097
0.09,0.26595,6.9241,93.09,6.9623,93.603,0.027953,0,0.027953,0,0.72776,9.7841,28.61,-80.6,9.7922,47.68,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.034344,2800862,4176.3,0.49927,0.51806,0.29666,0.35568,0.042226,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0055549
0.1,0.33985,7.8555,93.04,7.8988,93.552,0.03572,0,0.03572,0,0.82565,9.7789,28.61,-80.6,9.7922,44.064,0,0,0,40385,12149,60.799,0.31173,NaN,94.579,NaN,0.035951,2931877,4172,0.65,0.51516,0.35247,0.35277,0.042228,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001013,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0058623
0.11,0.42306,8.7864,93.327,8.8348,93.841,0.044466,0,0.044466,0,0.92349,9.8091,28.61,-80.6,9.7922,41.413,0,0,0,40361,12125,60.778,0.31148,NaN,94.557,NaN,0.038145,3110769,4181.4,0.81894,0.51374,0.39447,0.35132,0.042231,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001133,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0061424
0.12,0.51559,9.7201,93.859,9.7737,94.376,0.054191,0,0.054191,0,1.0216,9.8649,28.61,-80.6,9.7922,39.047,0,0,0,40337,12101,60.757,0.31124,NaN,94.535,NaN,0.040418,3296121,4200.7,1.009,0.51376,0.43288,0.35131,0.042235,0.12021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012534,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0064115
0.13,0.61749,10.659,94.391,10.718,94.911,0.064901,0,0.064901,0,1.1203,9.9209,28.61,-80.6,9.7922,36.924,0,0,0,40313,12077,60.735,0.31099,NaN,94.514,NaN,0.042765,3487509,4220,1.2183,0.51378,0.4669,0.3513,0.042239,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013745,6.2992,201.06,84,0,NaN,14.996,1013.2,340.39,0.01,0.0066789
0.14,0.7288,11.604,94.923,11.668,95.446,0.0766,0,0.0766,0,1.2196,9.9768,28.61,-80.6,9.7922,35.013,0,0,0,40289,12054,60.714,0.31075,NaN,94.492,NaN,0.045178,3684228,4239.3,1.4467,0.5138,0.49679,0.3513,0.042243,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014963,6.2992,201.06,84,0,NaN,14.995,1013.2,340.39,0.01,0.0069559
0.15,0.84959,12.553,95.455,12.622,95.981,0.089295,0,0.089295,0,1.3194,10.033,28.61,-80.6,9.7922,33.287,0,0,0,40265,12030,60.693,0.3105,NaN,94.47,NaN,0.047649,3885696,4258.5,1.6937,0.51383,0.52287,0.35129,0.042247,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016187,6.2992,201.06,84,0,NaN,14.994,1013.2,340.39,0.01,0.00732
0.16,0.9799,13.508,95.988,13.583,96.517,0.10299,0,0.10299,0,1.4198,10.089,28.61,-80.6,9.7922,31.14,0,0,0,40241,12006,60.672,0.31025,NaN,94.448,NaN,0.049783,4059705,4277.8,1.9577,0.51385,0.55365,0.35128,0.042251,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017419,6.2992,201.06,84,0,NaN,14.994,1013.1,340.39,0.01,0.0075868
0.17,1.1198,14.469,96.521,14.548,97.052,0.11769,0,0.11769,0,1.5207,10.145,28.61,-80.6,9.7922,29.163,0,0,0,40218,11982,60.65,0.31001,NaN,94.426,NaN,0.051996,4240056,4297.1,2.2369,0.51388,0.57994,0.35127,0.042257,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018657,6.2992,201.06,84,0,NaN,14.993,1013.1,340.38,0.01,0.0078637
0.18,1.2693,15.434,96.9,15.519,97.434,0.13341,0,0.13341,0,1.6222,10.185,28.61,-80.6,9.7922,27.343,0,0,0,40194,11958,60.629,0.30976,NaN,94.405,NaN,0.054279,4426170,4310.2,2.5304,0.51391,0.60201,0.35126,0.042264,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019903,6.2992,201.06,84,0,NaN,14.992,1013.1,340.38,0.01,0.0081306
0.19,1.4285,16.404,96.661,16.494,97.194,0.15014,0,0.15014,0,1.7241,10.159,28.61,-80.6,9.7922,25.666,0,0,0,40170,11934,60.607,0.30952,NaN,94.383,NaN,0.056622,4617206,4298.3,2.8366,0.51394,0.62018,0.35126,0.042271,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021153,6.2992,201.06,84,0,NaN,14.991,1013.1,340.38,0.01,0.008416
0.2,1.5974,17.371,96.799,17.467,97.333,0.16789,0,0.16789,0,1.8258,10.174,28.61,-80.6,9.7922,24.126,0,0,0,40146,11910,60.586,0.30927,NaN,94.361,NaN,0.059004,4811349,4301.6,3.1526,0.51398,0.63476,0.35125,0.042279,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00224,6.2992,201.06,84,0,NaN,14.99,1013.1,340.38,0.01,0.0086702
