# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.0063746,519873,163.58,1.0311e-4,0.65636,0.0017783,0.49415,0.042202,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0056162
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.0064302,524412,2907.7,1.0477e-4,0.65545,0.0017758,0.49324,0.042202,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0067754
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,68.835,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.0069169,564103,4084.9,0.0043863,0.64791,0.064253,0.4857,0.042202,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0069733
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,51.492,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.0083137,678020,4026.2,0.028646,0.62965,0.29046,0.46744,0.042203,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0071587
0.04,0.033426,2.4119,88.814,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,40.017,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.010204,832142,4013.8,0.073645,0.61051,0.49575,0.4483,0.042203,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0075177
0.05,0.061988,3.3005,89.02,3.3187,89.51,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,32.352,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.012364,1008368,4019.9,0.13521,0.59361,0.61982,0.43139,0.042205,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.007683
0.06,0.099446,4.1912,89.946,4.2143,90.441,0.010452,0,0.010452,0,0.44051,9.4537,28.61,-80.6,9.7922,27.095,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.014697,1198633,4055.4,0.21011,0.57921,0.68168,0.41698,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0080697
0.07,0.14586,5.0911,91.048,5.1192,91.55,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,23.265,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.017145,1398247,4098,0.297,0.56698,0.7081,0.40473,0.042208,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0083698
0.08,0.20132,6.0021,92.152,6.0352,92.66,0.02116,0,0.02116,0,0.63085,9.6856,28.61,-80.6,9.7922,20.369,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.019681,1605028,4140.5,0.39501,0.55648,0.71474,0.39422,0.04221,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7396e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0086006
0.09,0.26595,6.9241,93.09,6.9622,93.603,0.027953,0,0.027953,0,0.72775,9.7841,28.61,-80.6,9.7922,18.111,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.022286,1817496,4176.3,0.50359,0.54737,0.71061,0.38509,0.042212,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0087941
0.1,0.33985,7.8555,93.041,7.8987,93.553,0.03572,0,0.03572,0,0.82564,9.779,28.61,-80.6,9.7922,16.311,0,0,0,40385,12149,60.799,0.31173,NaN,94.579,NaN,0.024946,2034359,4172,0.62189,0.53938,0.70042,0.37709,0.042215,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001013,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0089589
0.11,0.42306,8.7864,93.329,8.8348,93.843,0.044465,0,0.044465,0,0.92348,9.8093,28.61,-80.6,9.7922,14.493,0,0,0,40361,12125,60.778,0.31148,NaN,94.557,NaN,0.027557,2247293,4181.4,0.7399,0.53254,0.6829,0.37022,0.042217,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001133,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0091216
0.12,0.51559,9.7202,93.862,9.7737,94.379,0.054191,0,0.054191,0,1.0216,9.8653,28.61,-80.6,9.7922,12.987,0,0,0,40337,12101,60.757,0.31124,NaN,94.535,NaN,0.030199,2462772,4200.7,0.86152,0.52641,0.66208,0.36407,0.04222,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012534,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0092807
0.13,0.61749,10.659,94.396,10.718,94.916,0.064901,0,0.064901,0,1.1203,9.9215,28.61,-80.6,9.7922,11.718,0,0,0,40313,12077,60.735,0.31099,NaN,94.514,NaN,0.032875,2680931,4220,0.98879,0.52086,0.64125,0.3585,0.042224,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013745,6.2992,201.06,84,0,NaN,14.996,1013.2,340.39,0.01,0.0094388
0.14,0.7288,11.604,94.931,11.668,95.454,0.0766,0,0.0766,0,1.2196,9.9776,28.61,-80.6,9.7922,10.637,0,0,0,40289,12054,60.714,0.31075,NaN,94.492,NaN,0.035579,2901466,4239.3,1.1229,0.51582,0.62175,0.35343,0.042228,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014963,6.2992,201.06,84,0,NaN,14.995,1013.2,340.39,0.01,0.009641
0.15,0.84959,12.554,95.466,12.623,95.992,0.089295,0,0.089295,0,1.3194,10.034,28.61,-80.6,9.7922,9.7039,0,0,0,40265,12030,60.693,0.3105,NaN,94.47,NaN,0.03831,3124152,4258.5,1.2712,0.51374,0.60706,0.35132,0.042231,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016188,6.2992,201.06,84,0,NaN,14.994,1013.2,340.39,0.01,0.009988
0.16,0.9799,13.509,96.001,13.583,96.529,0.10299,0,0.10299,0,1.4198,10.09,28.61,-80.6,9.7922,9.0208,0,0,0,40241,12006,60.672,0.31025,NaN,94.448,NaN,0.041091,3350831,4277.8,1.4403,0.51376,0.5979,0.35131,0.042236,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017419,6.2992,201.06,84,0,NaN,14.994,1013.1,340.39,0.01,0.010424
0.17,1.1198,14.469,96.536,14.549,97.068,0.11769,0,0.11769,0,1.5208,10.146,28.61,-80.6,9.7922,8.4213,0,0,0,40218,11982,60.65,0.31001,NaN,94.426,NaN,0.043891,3579194,4297.1,1.621,0.51379,0.58979,0.3513,0.04224,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018658,6.2992,201.06,84,0,NaN,14.993,1013.1,340.38,0.01,0.010757
0.18,1.2693,15.435,96.918,15.52,97.452,0.13341,0,0.13341,0,1.6223,10.186,28.61,-80.6,9.7922,7.8911,0,0,0,40194,11958,60.629,0.30976,NaN,94.405,NaN,0.046712,3809172,4310.2,1.8137,0.51382,0.58263,0.35129,0.042245,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019903,6.2992,201.06,84,0,NaN,14.992,1013.1,340.38,0.01,0.011123
0.19,1.4285,16.405,96.681,16.495,97.214,0.15014,0,0.15014,0,1.7242,10.162,28.61,-80.6,9.7922,7.4197,0,0,0,40170,11934,60.607,0.30952,NaN,94.383,NaN,0.049548,4040343,4298.3,2.0185,0.51385,0.57631,0.35128,0.042251,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021154,6.2992,201.06,84,0,NaN,14.991,1013.1,340.38,0.01,0.011438
0.2,1.5974,17.372,96.822,17.468,97.356,0.16789,0,0.16789,0,1.8259,10.176,28.61,-80.6,9.7922,7.0002,0,0,0,40146,11910,60.586,0.30927,NaN,94.361,NaN,0.052379,4271184,4301.6,2.2341,0.51389,0.57078,0.35127,0.042259,0.12036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022401,6.2992,201.06,84,0,NaN,14.99,1013.1,340.38,0.01,0.011746
0.21,1.776,18.341,97.179,18.442,97.715,0.18666,0,0.18666,0,1.9277,10.214,28.61,-80.6,9.7922,6.6391,0,0,0,40122,11886,60.565,0.30902,NaN,94.339,NaN,0.055221,4502835,4313.7,2.4626,0.51392,0.5661,0.35126,0.042267,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002365,6.2992,201.06,84,0,NaN,14.988,1013,340.38,0.01,0.012057
