# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.0056646,461973,163.58,0,0.66897,0,0.50677,0.042202,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.034301
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.0056464,460487,2907.7,0,0.66932,0,0.50712,0.042202,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.035142
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,72.086,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.0059149,482387,4084.9,0.0020794,0.6643,0.041653,0.50209,0.042202,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.035715
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,51.312,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.0071871,586138,4026.2,0.022138,0.64402,0.30036,0.48181,0.042202,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.036324
0.04,0.033426,2.4119,88.815,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,38.125,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.0090571,738644,4013.8,0.063396,0.6215,0.54162,0.45929,0.042203,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.036888
0.05,0.061988,3.3005,89.02,3.3187,89.51,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,29.754,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.01123,915888,4019.9,0.12065,0.60195,0.67041,0.43973,0.042204,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.039228
0.06,0.099446,4.1912,89.946,4.2143,90.442,0.010452,0,0.010452,0,0.44051,9.4537,28.61,-80.6,9.7922,24.13,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.013566,1106385,4055.4,0.18997,0.58579,0.72341,0.42356,0.042205,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.040026
0.07,0.14586,5.0911,91.049,5.1192,91.551,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,20.151,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.01602,1306476,4098,0.26956,0.5723,0.73615,0.41006,0.042207,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.041303
0.08,0.20132,6.0021,92.153,6.0352,92.661,0.02116,0,0.02116,0,0.63085,9.6857,28.61,-80.6,9.7922,17.209,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.018561,1513723,4140.5,0.35842,0.56089,0.72912,0.39864,0.042209,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.041917
0.09,0.26595,6.9241,93.091,6.9623,93.604,0.027953,0,0.027953,0,0.72776,9.7843,28.61,-80.6,9.7922,14.957,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.021171,1726564,4176.3,0.45396,0.55109,0.70983,0.38882,0.042211,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.042401
