# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.0050398,411019,163.58,6.696e-5,0.68194,0.0018476,0.51973,0.042201,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0040089
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.005002,407932,2907.7,6.604e-5,0.68279,0.0018499,0.52059,0.042201,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.005395
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,64.656,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.0054626,445503,4084.9,0.0046113,0.67295,0.1083,0.51074,0.042201,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0057019
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,44.374,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.0070055,571331,4026.2,0.03054,0.64661,0.43612,0.4844,0.042202,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0059786
0.04,0.033426,2.4119,88.814,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,32.484,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.0090521,738238,4013.8,0.075609,0.62156,0.64668,0.45934,0.042203,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.006251
0.05,0.061988,3.3005,89.02,3.3187,89.51,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,25.188,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.011335,924381,4019.9,0.13399,0.60114,0.73094,0.43892,0.042204,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0065126
0.06,0.099446,4.1912,89.946,4.2143,90.441,0.010452,0,0.010452,0,0.44051,9.4537,28.61,-80.6,9.7922,20.47,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.013755,1121772,4055.4,0.20257,0.58465,0.75038,0.42242,0.042205,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0067731
0.07,0.14586,5.0911,91.049,5.1192,91.55,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,17.151,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.016267,1326610,4098,0.2803,0.57109,0.7424,0.40885,0.042207,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0070279
0.08,0.20132,6.0021,92.153,6.0352,92.66,0.02116,0,0.02116,0,0.63085,9.6857,28.61,-80.6,9.7922,14.7,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.01885,1537274,4140.5,0.36465,0.55972,0.71925,0.39747,0.042209,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0072811
0.09,0.26595,6.9241,93.091,6.9623,93.604,0.027953,0,0.027953,0,0.72775,9.7843,28.61,-80.6,9.7922,12.823,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.021491,1752663,4176.3,0.45473,0.55,0.69001,0.38773,0.042211,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0075406
0.1,0.33985,7.8555,93.042,7.8988,93.555,0.03572,0,0.03572,0,0.82565,9.7791,28.61,-80.6,9.7922,11.345,0,0,0,40385,12149,60.799,0.31173,NaN,94.579,NaN,0.024178,1971734,4172,0.55221,0.54157,0.66207,0.37928,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001013,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0077966
0.11,0.42306,8.7864,93.331,8.8348,93.845,0.044465,0,0.044465,0,0.92349,9.8095,28.61,-80.6,9.7922,10.17,0,0,0,40361,12125,60.778,0.31148,NaN,94.557,NaN,0.026876,2191795,4181.4,0.65721,0.53424,0.63768,0.37193,0.042217,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001133,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.0080516
0.12,0.51559,9.7202,93.865,9.7738,94.382,0.054191,0,0.054191,0,1.0216,9.8656,28.61,-80.6,9.7922,9.2061,0,0,0,40337,12101,60.757,0.31124,NaN,94.535,NaN,0.029592,2413292,4200.7,0.77061,0.52775,0.61676,0.36542,0.04222,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012534,6.2992,201.06,84,0,NaN,14.997,1013.2,340.39,0.01,0.012658
0.13,0.61749,10.659,94.399,10.718,94.919,0.064901,0,0.064901,0,1.1203,9.9217,28.61,-80.6,9.7922,8.4008,0,0,0,40313,12077,60.735,0.31099,NaN,94.514,NaN,0.032331,2636625,4220,0.89316,0.52194,0.59886,0.35958,0.042223,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013745,6.2992,201.06,84,0,NaN,14.996,1013.2,340.39,0.01,0.013116
0.14,0.72881,11.604,94.933,11.668,95.456,0.076601,0,0.076601,0,1.2196,9.9779,28.61,-80.6,9.7922,7.7178,0,0,0,40289,12054,60.714,0.31075,NaN,94.492,NaN,0.035091,2861668,4239.3,1.0252,0.51669,0.58353,0.35431,0.042227,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014963,6.2992,201.06,84,0,NaN,14.995,1013.2,340.39,0.01,0.013509
0.15,0.84959,12.554,95.468,12.623,95.994,0.089296,0,0.089296,0,1.3194,10.034,28.61,-80.6,9.7922,7.1316,0,0,0,40265,12030,60.693,0.3105,NaN,94.47,NaN,0.037871,3088330,4258.5,1.1712,0.51373,0.57235,0.35132,0.042231,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016188,6.2992,201.06,84,0,NaN,14.994,1013.2,340.39,0.01,0.013913
0.16,0.97991,13.509,96.003,13.583,96.532,0.10299,0,0.10299,0,1.4198,10.09,28.61,-80.6,9.7922,6.6999,0,0,0,40241,12006,60.672,0.31025,NaN,94.448,NaN,0.040682,3317544,4277.8,1.3382,0.51376,0.56671,0.35131,0.042235,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001742,6.2992,201.06,84,0,NaN,14.994,1013.1,340.39,0.01,0.014177
0.17,1.1198,14.469,96.539,14.549,97.07,0.1177,0,0.1177,0,1.5208,10.147,28.61,-80.6,9.7922,6.3217,0,0,0,40218,11982,60.65,0.31001,NaN,94.426,NaN,0.043511,3548196,4297.1,1.5177,0.51379,0.56188,0.3513,0.04224,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018658,6.2992,201.06,84,0,NaN,14.993,1013.1,340.38,0.01,0.014412
0.18,1.2693,15.435,96.92,15.52,97.454,0.13341,0,0.13341,0,1.6223,10.187,28.61,-80.6,9.7922,5.9877,0,0,0,40194,11958,60.629,0.30976,NaN,94.405,NaN,0.046358,3780260,4310.2,1.7099,0.51382,0.55771,0.35129,0.042245,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019904,6.2992,201.06,84,0,NaN,14.992,1013.1,340.38,0.01,0.014657
0.19,1.4285,16.405,96.684,16.495,97.216,0.15014,0,0.15014,0,1.7242,10.162,28.61,-80.6,9.7922,5.691,0,0,0,40170,11934,60.607,0.30952,NaN,94.383,NaN,0.049217,4013344,4298.3,1.9148,0.51385,0.55411,0.35128,0.04225,0.12031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021154,6.2992,201.06,84,0,NaN,14.991,1013.1,340.38,0.01,0.014898
