# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.016215,1322399,163.58,5.8072e-4,0.57134,0.0015479,0.4091,0.042207,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0022571
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.01599,1304022,2907.7,5.6579e-4,0.57245,0.0015509,0.41021,0.042207,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0026335
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,77.53,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.016057,1309496,4084.9,0.0047567,0.57212,0.01293,0.40988,0.042207,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0030283
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,68.406,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.01662,1355460,4026.2,0.023507,0.5694,0.059638,0.40716,0.042207,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0035113
0.04,0.033426,2.4119,88.815,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,60.19,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.017552,1431456,4013.8,0.061027,0.56516,0.13883,0.40292,0.042208,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0038741
0.05,0.061988,3.3005,89.02,3.3187,89.511,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,52.953,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.018801,1533279,4019.9,0.11888,0.55992,0.23571,0.39766,0.042209,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0041761
0.06,0.099446,4.1912,89.946,4.2143,90.442,0.010452,0,0.010452,0,0.44051,9.4537,28.61,-80.6,9.7922,47.008,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.020464,1668883,4055.4,0.19615,0.55359,0.32829,0.39132,0.04221,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0044405
0.07,0.14586,5.0911,91.048,5.1192,91.55,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,41.954,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.022333,1821333,4098,0.29235,0.54722,0.4108,0.38494,0.042212,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0048758
0.08,0.20132,6.0021,92.152,6.0352,92.659,0.02116,0,0.02116,0,0.63085,9.6855,28.61,-80.6,9.7922,37.662,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.024375,1987818,4140.5,0.40629,0.541,0.47928,0.37871,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0052265
0.09,0.26595,6.9241,93.089,6.9622,93.602,0.027953,0,0.027953,0,0.72775,9.784,28.61,-80.6,9.7922,34.011,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.026558,2165912,4176.3,0.53663,0.53505,0.53321,0.37274,0.042216,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0055851
