# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.014514,1183684,163.58,0,0.58023,0,0.418,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.001609
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.014331,1168788,2907.7,0,0.58127,0,0.41903,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0019588
0.02,0.0030793,0.6159,90.451,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,82.673,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.014265,1163393,4084.9,8.2129e-4,0.58165,0.0028285,0.41941,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0023019
0.03,0.013763,1.5208,89.063,1.5292,89.554,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,72.168,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.014671,1196473,4026.2,0.011015,0.57936,0.035865,0.41712,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0025951
0.04,0.033426,2.4119,88.815,2.4252,89.305,0.0035132,0,0.0035132,0,0.25351,9.3349,28.61,-80.6,9.7922,62.665,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.015516,1265397,4013.8,0.038772,0.57484,0.11287,0.41261,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0028924
0.05,0.061988,3.3006,89.021,3.3187,89.511,0.0065152,0,0.0065152,0,0.3469,9.3565,28.61,-80.6,9.7922,54.365,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.016734,1364760,4019.9,0.087157,0.56887,0.21812,0.40662,0.042207,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0031882
0.06,0.099447,4.1912,89.947,4.2143,90.443,0.010452,0,0.010452,0,0.44052,9.4538,28.61,-80.6,9.7922,47.83,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.018442,1504040,4055.4,0.15477,0.56138,0.31892,0.39912,0.042209,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4046e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0035044
0.07,0.14586,5.0912,91.05,5.1192,91.551,0.01533,0,0.01533,0,0.5351,9.5697,28.61,-80.6,9.7922,42.408,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.020368,1661117,4098,0.24146,0.55393,0.4079,0.39167,0.04221,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0037781
0.08,0.20132,6.0022,92.153,6.0352,92.661,0.02116,0,0.02116,0,0.63085,9.6857,28.61,-80.6,9.7922,37.903,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.022471,1832544,4140.5,0.34603,0.54678,0.48029,0.3845,0.042212,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0040485
0.09,0.26596,6.9242,93.091,6.9623,93.603,0.027953,0,0.027953,0,0.72776,9.7842,28.61,-80.6,9.7922,34.146,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.024714,2015530,4176.3,0.46716,0.54003,0.53603,0.37774,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9287e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0043615
