time (s)   thrust (N)
  0.00        89.42
  0.02        83.83
  0.03        87.85
  0.05        92.50
  0.06        89.27
  0.08        87.44
  0.10        91.80
  0.11        89.84
  0.13        90.36
  0.15        87.89
  0.16        88.54
  0.18        97.89
  0.20        93.38
  0.21        88.88
  0.23        84.00
  0.24        83.15
  0.26        78.38
  0.28        95.06
  0.29        84.72
  0.31        92.26
  0.32        98.12
  0.34       108.66
  0.36       100.00
  0.37       100.99
  0.39       107.81
  0.41        99.20
  0.42       150.12
  0.44       275.70
  0.46       261.04
  0.47       256.02
  0.49       272.09
  0.51       279.62
  0.52       275.71
  0.54       275.02
  0.56       273.06
  0.58       272.78
  0.59       260.29
  0.61       256.80
  0.62       261.50
  0.64       287.19
  0.66       278.70
  0.67       269.83
  0.69       266.69
  0.71       265.90
  0.94       277.36
  0.96       259.46
  0.97       269.79
  0.99       271.68
  1.01       266.92
  1.03       263.07
  1.04       261.72
  1.06       264.47
  1.08       308.40
  1.09       325.97
  1.11       337.96
  1.13       331.61
  1.14       458.48
  1.16       663.85
  1.18       755.24
  1.20       828.10
  1.21       922.19
  1.23      1016.19
  1.25      1194.62
  1.26      1301.83
  1.28      1451.42
  1.30      1526.62
  1.31      1607.67
  1.33      1702.79
  1.35      1757.60
  1.37      1824.66
  1.38      1857.13
  1.40      1887.60
  1.42      1879.36
  1.44      1969.00
  1.45      1934.42
  1.47      2000.00
  1.48      1937.34
  1.50      1949.73
  1.52      1939.65
  1.54      1951.25
  1.55      1928.92
  1.57      1956.63
  1.59      1885.58
  1.60      1878.42
  1.62      1913.89
  1.64      1867.33
  1.65      1933.24
  1.67      1900.75
  1.69      1858.88
  1.70      1868.84
  1.72      1850.54
  1.74      1893.21
  1.75      1832.20
  1.77      1878.13
  1.79      1753.71
  1.81      1787.21
  1.82      1778.44
  1.84      1757.83
  1.85      1727.30
  1.87      1735.16
  1.89      1696.32
  1.90      1677.16
  1.92      1643.59
  1.94      1669.22
  1.95      1696.72
  1.97      1683.77
  1.99      1733.67
  2.00      1637.15
  2.02      1616.80
  2.04      1637.73
  2.06      1631.35
  2.07      1672.54
  2.09      1659.67
  2.11      1610.85
  2.12      1710.11
  2.14      1669.21
  2.16      1648.02
  2.17      1662.18
  2.19      1624.57
  2.21      1594.22
  2.22      1624.12
  2.24      1621.01
  2.26      1566.61
  2.27      1601.36
  2.29      1649.21
  2.30      1696.24
  2.32      1594.07
  2.34      1511.33
  2.36      1631.74
  2.38      1538.08
  2.39      1582.91
  2.41      1617.29
  2.42      1528.65
  2.44      1517.92
  2.46      1554.38
  2.47      1566.88
  2.49      1576.17
  2.50      1544.33
  2.52      1455.67
  2.54      1502.86
  2.56      1495.59
  2.57      1513.75
  2.59      1413.35
  2.62      1402.83
  2.64      1396.81
  2.66      1483.93
  2.67      1429.83
  2.69      1441.22
  2.71      1446.69
  2.72      1496.88
  2.74      1482.52
  2.75      1535.64
  2.77      1516.33
  2.79      1551.55
  2.80      1581.51
  2.82      1650.93
  2.83      1579.20
  2.85      1720.67
  2.87      1806.94
  2.88      1895.55
  2.90      1875.79
  2.92      1672.49
  2.94      1665.46
  2.96      1603.66
  2.97      1567.63
  2.99      1566.41
  3.01      1733.28
  3.02      1679.63
  3.04      1679.96
  3.06      1597.65
  3.07      1759.63
  3.09      1807.56
  3.10      1653.38
  3.12      1739.57
  3.14      1832.51
  3.15      1815.95
  3.17      1716.59
  3.19      1793.84
  3.21      1765.25
  3.22      1775.02
  3.24      1833.04
  3.25      1830.47
  3.27      1589.62
  3.29      1674.10
  3.30      1566.83
  3.32      1891.86
  3.34      1685.90
  3.35      1633.97
  3.37      1699.61
  3.39      1807.09
  3.41      1732.36
  3.42      1827.29
  3.44      1910.99
  3.46      1743.10
  3.47      1697.07
  3.49      1907.00
  3.51      1589.63
  3.52      1784.19
  3.54      1837.75
  3.56      1752.90
  3.57      1783.50
  3.59      1646.85
  3.60      1757.23
  3.62      1713.14
  3.64      1646.33
  3.66      1637.11
  3.67      1709.38
  3.69      1639.93
  3.71      1502.80
  3.72      1513.07
  3.74      1529.32
  3.76      1464.58
  3.77      1431.22
  3.79      1558.33
  3.81      1463.40
  3.82      1462.79
  3.84      1569.14
  3.86      1586.99
  3.87      1669.75
  3.89      1647.34
  3.91      1634.57
  3.92      1659.10
  3.94      1604.12
  3.96      1659.61
  3.97      1588.13
  3.99      1620.85
  4.01      1611.21
  4.02      1613.58
  4.04      1544.46
  4.06      1622.31
  4.08      1551.88
  4.09      1544.27
  4.11      1489.96
  4.13      1495.74
  4.14      1600.69
  4.16      1568.86
  4.17      1515.99
  4.19      1544.63
  4.21      1552.04
  4.22      1527.98
  4.24      1471.03
  4.26      1536.07
  4.27      1507.23
  4.29      1585.84
  4.31      1586.50
  4.33      1544.49
  4.34      1579.41
  4.36      1538.31
  4.38      1615.77
  4.39      1573.15
  4.41      1556.71
  4.43      1522.39
  4.44      1480.75
  4.46      1564.06
  4.48      1482.11
  4.49      1456.13
  4.51      1429.31
  4.53      1427.14
  4.54      1487.71
  4.56      1553.94
  4.58      1621.33
  4.59      1667.64
  4.61      1670.30
  4.63      1615.30
  4.64      1644.39
  4.66      1635.64
  4.68      1725.51
  4.70      1735.17
  4.71      1681.55
  4.73      1638.07
