# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),CP location (cm),CG location (cm),Stability margin calibers (?)
0,0,0,0.80857,0,0,NaN,248.76,NaN
0.01,4.04E-05,0.0080857,21.861,3.54E-06,0,NaN,248.76,NaN
0.02,0.0012146,0.22675,42.925,1.06E-04,0,NaN,248.73,NaN
0.03,0.0056287,0.65609,62.373,4.92E-04,0,NaN,248.71,NaN
0.04,0.015309,1.28,66.811,0.0013394,0,NaN,248.69,NaN
0.05,0.03145,1.9483,67.603,0.0027515,0,NaN,248.65,NaN
0.06,0.054314,2.6246,68.401,0.0047519,0,NaN,248.6,NaN
0.07,0.083982,3.3089,69.198,0.0073474,0,NaN,248.55,NaN
0.08,0.12053,4.0011,69.996,0.010545,0,NaN,248.51,NaN
0.09,0.16404,4.7014,70.793,0.014352,0,NaN,248.46,NaN
0.1,0.2146,5.4096,71.59,0.018775,0,NaN,248.42,NaN
0.11,0.27227,6.1257,72.387,0.023821,0,NaN,248.37,NaN
0.12,0.33715,6.8498,73.183,0.029497,0,NaN,248.32,NaN
0.13,0.40931,7.5819,73.599,0.03581,0,NaN,248.28,NaN
0.14,0.48881,8.3182,73.229,0.042765,0,NaN,248.23,NaN
0.15,0.57565,9.0507,72.835,0.050363,0,NaN,248.18,NaN
0.16,0.6698,9.7793,72.439,0.0586,0,NaN,248.14,NaN
0.17,0.77122,10.504,72.043,0.067473,0,NaN,248.09,NaN
0.18,0.87986,11.225,71.645,0.076978,0,NaN,248.04,NaN
0.19,0.99569,11.941,71.247,0.087112,0,NaN,247.99,NaN
0.2,1.1187,12.654,70.848,0.097871,0,NaN,247.95,NaN
0.21,1.2488,13.363,70.448,0.10925,0,NaN,247.9,NaN
0.22,1.3859,14.067,70.048,0.12125,0,NaN,247.85,NaN
0.23,1.5301,14.768,69.646,0.13386,0,NaN,247.81,NaN
0.24,1.6812,15.465,69.244,0.14709,0,NaN,247.76,NaN
0.25,1.8394,16.157,68.841,0.16092,0,NaN,247.71,NaN
