# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.022731,1853823,163.58,0,0.54595,0,0.38367,0.042212,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0025183
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,90,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.022836,1862363,2907.7,0,0.54562,0,0.38334,0.042212,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0028765
0.02,0.0030793,0.6159,90.451,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,85.465,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.023013,1876778,4084.9,4.8942e-4,0.54507,6.4769e-4,0.38279,0.042213,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0030874
0.03,0.013763,1.5208,89.063,1.5292,89.554,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,78.969,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.023479,1914822,4026.2,0.0068032,0.54364,0.008649,0.38136,0.042213,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0033956
0.04,0.033426,2.4119,88.816,2.4252,89.305,0.0035132,0,0.0035132,0,0.25351,9.3349,28.61,-80.6,9.7922,72.893,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.024222,1975374,4013.8,0.025,0.54144,0.029864,0.37915,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0036997
0.05,0.061988,3.3006,89.022,3.3187,89.512,0.0065152,0,0.0065152,0,0.3469,9.3566,28.61,-80.6,9.7922,67.253,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.025216,2056459,4019.9,0.058912,0.53863,0.064934,0.37633,0.042215,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2561e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0039057
0.06,0.099447,4.1913,89.948,4.2143,90.444,0.010452,0,0.010452,0,0.44052,9.4539,28.61,-80.6,9.7922,61.923,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.026306,2145346,4055.4,0.11135,0.53571,0.11277,0.3734,0.042216,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4046e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0040525
0.07,0.14586,5.0912,91.051,5.1193,91.553,0.01533,0,0.01533,0,0.53511,9.5699,28.61,-80.6,9.7922,57.008,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.027619,2252458,4098,0.18388,0.53238,0.16893,0.37006,0.042217,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5651e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0041998
0.08,0.20133,6.0022,92.155,6.0353,92.663,0.02116,0,0.02116,0,0.63086,9.6859,28.61,-80.6,9.7922,52.517,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.029137,2376200,4140.5,0.27726,0.52878,0.22889,0.36645,0.042219,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7398e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0043466
0.09,0.26596,6.9242,93.093,6.9624,93.605,0.027953,0,0.027953,0,0.72777,9.7844,28.61,-80.6,9.7922,48.447,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.030837,2514814,4176.3,0.39151,0.52503,0.28856,0.36268,0.042221,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9287e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0045586
