# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-5.6763,0,5.7075,0,0,0,0,0,0.5966,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.014025,1143781,163.58,4.4333e-4,0.58304,0.0015796,0.42081,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0011654
0.01,0,0,61.573,0,61.913,0,0,0,0,0,6.4716,28.61,-80.6,9.7922,84,0,0,0,40581,12346,60.972,0.31372,NaN,94.756,NaN,0.01411,1150718,2907.7,4.4835e-4,0.58254,0.0015783,0.42031,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0014838
0.02,0.0030793,0.6159,90.45,0.61929,90.949,3.2365e-4,0,3.2365e-4,0,0.064734,9.5067,28.61,-80.6,9.7922,76.831,0,0,0,40570,12334,60.962,0.31362,NaN,94.746,NaN,0.014498,1182409,4084.9,0.0045949,0.58032,0.01532,0.41809,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.942e-5,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.00178
0.03,0.013763,1.5208,89.063,1.5292,89.553,0.0014465,0,0.0014465,0,0.15985,9.3609,28.61,-80.6,9.7922,67.147,0,0,0,40549,12313,60.944,0.31341,NaN,94.727,NaN,0.015411,1256866,4026.2,0.023804,0.57539,0.07024,0.41315,0.042206,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9611e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0019746
0.04,0.033426,2.4119,88.815,2.4252,89.304,0.0035132,0,0.0035132,0,0.2535,9.3348,28.61,-80.6,9.7922,58.875,0,0,0,40525,12290,60.923,0.31317,NaN,94.706,NaN,0.016689,1361036,4013.8,0.062002,0.56908,0.15602,0.40684,0.042207,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1102e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0021469
0.05,0.061988,3.3005,89.02,3.3187,89.51,0.0065152,0,0.0065152,0,0.3469,9.3564,28.61,-80.6,9.7922,51.92,0,0,0,40502,12266,60.903,0.31293,NaN,94.685,NaN,0.018257,1488929,4019.9,0.12014,0.56215,0.2526,0.39989,0.042209,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.256e-4,6.2992,201.06,84,0,NaN,15,1013.2,340.39,0.01,0.0024674
0.06,0.099446,4.1912,89.946,4.2143,90.442,0.010452,0,0.010452,0,0.44051,9.4537,28.61,-80.6,9.7922,46.38,0,0,0,40479,12243,60.882,0.31269,NaN,94.664,NaN,0.020172,1645067,4055.4,0.19714,0.55465,0.33956,0.39239,0.04221,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4045e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0027156
0.07,0.14586,5.0911,91.048,5.1192,91.55,0.01533,0,0.01533,0,0.5351,9.5696,28.61,-80.6,9.7922,41.789,0,0,0,40455,12220,60.861,0.31245,NaN,94.643,NaN,0.022262,1815522,4098,0.29264,0.54745,0.41384,0.38517,0.042212,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0029522
0.08,0.20132,6.0021,92.152,6.0352,92.659,0.02116,0,0.02116,0,0.63085,9.6855,28.61,-80.6,9.7922,37.958,0,0,0,40432,12196,60.84,0.31221,NaN,94.622,NaN,0.024496,1997698,4140.5,0.40581,0.54065,0.47399,0.37836,0.042214,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7397e-4,6.2992,201.06,84,0,NaN,14.999,1013.2,340.39,0.01,0.0031083
0.09,0.26595,6.9241,93.089,6.9622,93.602,0.027953,0,0.027953,0,0.72775,9.784,28.61,-80.6,9.7922,34.74,0,0,0,40408,12173,60.82,0.31197,NaN,94.6,NaN,0.026847,2189478,4176.3,0.53578,0.53431,0.52097,0.372,0.042217,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9286e-4,6.2992,201.06,84,0,NaN,14.998,1013.2,340.39,0.01,0.0033373
